tweet_text,emotion_in_tweet_is_directed_at,is_there_an_emotion_directed_at_a_brand_or_product,tweet_length,clean_text
"#google sees the future evolving as mobile, social, and local converge to yield even more relevant results #sxsw",Google,Positive emotion,18,google see future evolving mobile social local converge yield even relevant result sxsw
Good to meet and see all @mention Don't forget: #mindjet giving away an #iPad for best MindManager map of  #SXSWi details: {link},iPad,Positive emotion,22,good meet see dont forget mindjet giving away ipad best mindmanager map sxswi detail link
"By the tweets of it, friends are boarding planes around the world heading for #SXSW . Have a great festival. Bring me an iPad.",,No emotion toward brand or product,24,tweet friend boarding plane around world heading sxsw great festival bring ipad
"If you prefer your news on iPhone, iPad or Droid, @mention has apps for that. @mention @mention &amp; @mention all on mobile apps now. #SXSW",iPad or iPhone App,Positive emotion,25,prefer news iphone ipad droid apps amp mobile apps sxsw
"Google prefers to launch hyped new Social features with meh, not bang? via TC {link} #SXSW",Google,Negative emotion,16,google prefers launch hyped new social feature meh bang via tc link sxsw
"Like in Vegas during #CES, the iPhone is best used as a hand warmer at #SXSW.",iPhone,Negative emotion,16,like vega ce iphone best used hand warmer sxsw
Sitting behind a dude with a barcode tattoo on his neck. Controlling the urge to scan it with my iPhone #SXSW,,No emotion toward brand or product,21,sitting behind dude barcode tattoo neck controlling urge scan iphone sxsw
Apple unveils iCarRadio at South by Southwest: {link} #apple #sxsw {link},,No emotion toward brand or product,11,apple unveils icarradio south southwest link apple sxsw link
"Nadya Direkova, @mention riffs on sid meier - user engagement w/ game mechanics - you can�۪t over reward the user in first 10 minutes  #sxsw",,No emotion toward brand or product,25,nadya direkova riff sid meier user engagement w game mechanic cant reward user first minute sxsw
"As the geeks leave Austin and the music people hit town, the look and feel becomes more unique, less apple branded. #SXSW",,No emotion toward brand or product,22,geek leave austin music people hit town look feel becomes unique le apple branded sxsw
Great panel on iPad magazine design. Pulling articles from different mags sounds awesome. So who's going to build it? #touchingstories #SXSW,iPad,Positive emotion,21,great panel ipad magazine design pulling article different mag sound awesome who going build touchingstories sxsw
First panel up: Marissa Mayer of google presents.. #sxsw #MarissaGoogle,,No emotion toward brand or product,10,first panel marissa mayer google present sxsw marissagoogle
Great panel w/guys fr @mention @mention @mention &amp; google hotpot! Social recs def not the end for recs. #discotalk #sxsw #sloanxsw,,Positive emotion,21,great panel wguys fr amp google hotpot social recs def end recs discotalk sxsw sloanxsw
Airport delay to #sxsw. Just introduced @mention to #CatPhysics. I feel like a drug pusher: First ipad play is free but after that...,iPad,Positive emotion,23,airport delay sxsw introduced catphysics feel like drug pusher first ipad play free
We have release Android App for Cluster -&gt; {link} #sxsw,,No emotion toward brand or product,10,release android app cluster gt link sxsw
Apple's release of the iPad 2 during #sxsw is a huge win especially for international attendees in town for the show.,iPad,Positive emotion,21,apple release ipad sxsw huge win especially international attendee town show
Lots of telecommuters &amp; co-workers in the room here.  Ppl using Skype &amp; Google docs a lot. #sxsw #looseorganizations,,No emotion toward brand or product,19,lot telecommuters amp coworkers room ppl using skype amp google doc lot sxsw looseorganizations
Note to self: downside of tweeting on an white iPad 2 expect to be mocked. @mention #sxsw,iPad,Negative emotion,17,note self downside tweeting white ipad expect mocked sxsw
&quot;I believe in God because there is no other explanation for Apple's continued existence.&quot; Guy Kawasaki #enchantment #sxsw,Apple,Positive emotion,18,quoti believe god explanation apple continued existencequot guy kawasaki enchantment sxsw
"I can't believe they built that #SXSW #Apple Store in, what, 2 days? {link}",,No emotion toward brand or product,14,cant believe built sxsw apple store day link
I can't believe what google just announced at Maggie Maes. Game changer for sure. #sxsw,Google,Positive emotion,15,cant believe google announced maggie maes game changer sure sxsw
"Googles Melissa Mayer speaks about augmented reality and contextual discovery at #sxsw, our lives will change with google and melissa!",,No emotion toward brand or product,20,google melissa mayer speaks augmented reality contextual discovery sxsw life change google melissa
you can tell #sxsw is happening when 15 of your few iphone apps all have updates at the same day.,iPad or iPhone App,Positive emotion,20,tell sxsw happening iphone apps update day
How the hell am I supposed to get the new IPad when I am stumbling around Austin during #SXSW #notwinning,,No emotion toward brand or product,20,hell supposed get new ipad stumbling around austin sxsw notwinning
I can't help but wonder if Apple sent extra iPad 2's to Austin-area stores?  #SXSW,,No emotion toward brand or product,15,cant help wonder apple sent extra ipad austinarea store sxsw
I'll be helping @mention at 12:30 for the Twitter for Good at #sxsw at Icenhaur's. Come and join us  {link},,No emotion toward brand or product,20,ill helping twitter good sxsw icenhaurs come join u link
Goal funnels in Google Analytics to track registrations. #srsly #sxsw #mitharvard,,No emotion toward brand or product,11,goal funnel google analytics track registration srsly sxsw mitharvard
"Safe travels, everyone. Make sure to get your free Gogo inflight wifi and sign up for the Freshbooks shuttle!  {link} #sxsw",,No emotion toward brand or product,21,safe travel everyone make sure get free gogo inflight wifi sign freshbooks shuttle link sxsw
I'm insanely jealous of everyone with an iPad here at #SXSW. Seems like a great way to interact with the panels. ... next year?? :P,iPad,Positive emotion,25,im insanely jealous everyone ipad sxsw seems like great way interact panel next year p
@mention email me so I can dd you to google document.  I need english speaking Twitter advocates - #sxsw worldwide event @mention,,No emotion toward brand or product,22,email dd google document need english speaking twitter advocate sxsw worldwide event
[#SXSW] Temporary apple store is just like a real store... by zbowling {link},,No emotion toward brand or product,13,sxsw temporary apple store like real store zbowling link
Apple's temporary megastore at #SXSW could be model for future conferences/events: {link},Apple,Positive emotion,12,apple temporary megastore sxsw could model future conferencesevents link
Google seems to have sabotaged my YouTube account - WTF? Are they trying to OWN the entire online ecosystem?  VERY BAD FORM #SXSW,Google,Negative emotion,23,google seems sabotaged youtube account wtf trying entire online ecosystem bad form sxsw
Apple2 Open 'Pop Up' Temporary Store @mention #SXSW 4 iPad 2 Launch: Apple2 Open 'Pop Up' Temporary Store @mention SXSW 4 iPad 2 L #: {link},,No emotion toward brand or product,26,apple open pop temporary store sxsw ipad launch apple open pop temporary store sxsw ipad l link
"Sweet siren call of #gsdm #google party starting downstairs, but I am wrapping #sxsw work at desk. Help me, Obi-Wan, you're my only hope!",,No emotion toward brand or product,24,sweet siren call gsdm google party starting downstairs wrapping sxsw work desk help obiwan youre hope
Wonder when Google's #impactdashboard (being demoed now) will become part of Google Analytics #bavcid #SXSW,,No emotion toward brand or product,15,wonder google impactdashboard demoed become part google analytics bavcid sxsw
Pretty even split between Android and iPhone at #sxsw this year.,,No emotion toward brand or product,11,pretty even split android iphone sxsw year
If you aren't at google you just missed the dance party of a lifetime #SXSW,Google,Positive emotion,15,arent google missed dance party lifetime sxsw
Rocking pen&amp;paper for the Google doodle talk at #sxsw,,No emotion toward brand or product,9,rocking penamppaper google doodle talk sxsw
"#SXSW attendees, Qrafter can both read QR Codes and tweet. Download it! {link} #iPhone #QRCode",,No emotion toward brand or product,15,sxsw attendee qrafter read qr code tweet download link iphone qrcode
Night is ending in fireside Pictionary at the W. On an iPad. #sxsw #werdorks,,No emotion toward brand or product,14,night ending fireside pictionary w ipad sxsw werdorks
Perhaps vending machines 4 novels? RT@mention 2 iPad pop-up stores open in Austin for #SXSW details here: {link},,No emotion toward brand or product,18,perhaps vending machine novel rt ipad popup store open austin sxsw detail link
"To my friends at #SXSW who think I abandoned you, in reality I just didn't have any means of communication, my iPhone stopped working. #fail",iPhone,Negative emotion,25,friend sxsw think abandoned reality didnt mean communication iphone stopped working fail
Normal scene at #SXSW - an iPad in the lap and an iphone in the hand.  {link},iPhone,Positive emotion,17,normal scene sxsw ipad lap iphone hand link
What happened to the Taxi Magic iPhone app? Now all I can do is call the cabs via it #sxsw,iPad or iPhone App,Negative emotion,20,happened taxi magic iphone app call cab via sxsw
"#Apple Opening Pop-Up Store in Austin for #SXSW Geekfest [Apple]: Our Brian Lam, and the��_ {link}",,No emotion toward brand or product,16,apple opening popup store austin sxsw geekfest apple brian lam link
@mention Enjoy #Sxsw and ride anywhere in Austin for $10 . download the #GroundLink app {link}  booth 437,,No emotion toward brand or product,18,enjoy sxsw ride anywhere austin download groundlink app link booth
spotted Dennis Crowley aka @mention - co founder of 4sq talking to @mention (VP of Google) at #sxsw. Location heavyweights!,,No emotion toward brand or product,20,spotted dennis crowley aka co founder sq talking vp google sxsw location heavyweight
"What happens at the google party, doesn't stay at the google party.... It's waiting in your inbox when you wakeup #sxsw",,No emotion toward brand or product,21,happens google party doesnt stay google party waiting inbox wakeup sxsw
What happens when #Apple hires security at #SXSW #Austin  {link},,No emotion toward brand or product,10,happens apple hire security sxsw austin link
"Such suspense! RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw",Other Google product or service,Positive emotion,17,suspense rt google launch major new social network called circle possibly today link sxsw
Funny moment at #sxsw panel when Dennis Crowley gets iPad 2 owners to hold up their new iPad 2. It looked like lighters at a rock concert.,iPad,Positive emotion,27,funny moment sxsw panel dennis crowley get ipad owner hold new ipad looked like lighter rock concert
"Google event: one drink tricket, small amount of food. @mention event: open bar, open taco truck #JustSaying #SXSW",,No emotion toward brand or product,18,google event one drink tricket small amount food event open bar open taco truck justsaying sxsw
Next presentation - Google's Marissa Mayer. Should be great! #sxsw (@mention Austin Convention Center w/ @mention {link},Google,Positive emotion,17,next presentation google marissa mayer great sxsw austin convention center w link
"#SXSW Essentials: Water/Energy Bars, Smart Phone, Camera, Map of DT, Sunglasses, Rainjacket, Laptop/IPad, MP3 Player/IPod, Earplugs -...",iPad,Positive emotion,17,sxsw essential waterenergy bar smart phone camera map dt sunglass rainjacket laptopipad mp playeripod earplug
"*g* rt @mention  Love the Apple pop-up store at #SXSW. ... Now, one question. Will AT&amp;T bring trucks for signal again? Please say yes.",Apple,Positive emotion,24,g rt love apple popup store sxsw one question atampt bring truck signal please say yes
HA! RT @mention ���@mention at #sxsw: &quot;apple comes up with cool technology no one's ever heard of because they don't go to conferences&quot;�۝,Apple,Positive emotion,23,ha rt sxsw quotapple come cool technology one ever heard dont go conferencesquot
;-) RT @mention @mention The geeks need somewhere downtown to line up to get the iPad 2. I'll be dropping by. #SXSW,iPad,Positive emotion,22,rt geek need somewhere downtown line get ipad ill dropping sxsw
thanks @mention @mention for the fun party @mention for #sxsw last night: {link},,No emotion toward brand or product,13,thanks fun party sxsw last night link
I wish @mention &amp; @mention would make WhisperGram - HollerGram for iPhone size screen. #sxsw,,No emotion toward brand or product,15,wish amp would make whispergram hollergram iphone size screen sxsw
Wew RT @mention #android app Bizzy challenges us to &quot;Check Out&quot; #Sxsw {link},,No emotion toward brand or product,13,wew rt android app bizzy challenge u quotcheck outquot sxsw link
Lol RT @mention at #sxsw: &quot;apple comes up with cool technology no one's ever heard of because they don't go to conferences&quot;,Apple,Positive emotion,22,lol rt sxsw quotapple come cool technology one ever heard dont go conferencesquot
Lol RT @mention at #sxsw: &quot;apple comes up with cool technology no one's ever heard of because they don't go to conferences&quot; (via @mention,Apple,Positive emotion,24,lol rt sxsw quotapple come cool technology one ever heard dont go conferencesquot via
Lol RT @mention at #sxsw: &quot;apple comes up with cool technology no one's ever heard of because they don't go to conferences&quot; #AUSxSW,Apple,Positive emotion,23,lol rt sxsw quotapple come cool technology one ever heard dont go conferencesquot ausxsw
+2: RT @mention Best thing I've heard this weekend at #SXSW &quot;I gave my iPad 2 money to #Japan relief. I don't need an iPad 2.&quot;,,No emotion toward brand or product,26,rt best thing ive heard weekend sxsw quoti gave ipad money japan relief dont need ipad quot
{link} @mention chatting it up via iPhone. Hilarious. #sxsw,iPhone,Positive emotion,9,link chatting via iphone hilarious sxsw
Thanks @mention for giving me new top cover for my banged up juicepack iphone case. You and your products rock! #tradeshow #sxsw,Other Apple product or service,Positive emotion,22,thanks giving new top cover banged juicepack iphone case product rock tradeshow sxsw
Thanks @mention for hosting this event #sxsw #sxswi #iwantacr48 {link},,No emotion toward brand or product,10,thanks hosting event sxsw sxswi iwantacr link
"Ha! RT @mention Google guy at #sxsw talk is explaining how he made realistic Twitter bots as an experiment. Gee, thanks for doing that.",Google,Negative emotion,24,ha rt google guy sxsw talk explaining made realistic twitter bot experiment gee thanks
"Ugh RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today at #SXSW {link}",,No emotion toward brand or product,17,ugh rt google launch major new social network called circle possibly today sxsw link
!!! RT @mention Got a craving? #SXSW minds created an app for that - Foodspotting {link} #iPhone #apps,,No emotion toward brand or product,18,rt got craving sxsw mind created app foodspotting link iphone apps
rad RT @mention Hey dudes @mention is giving away a sampler of bands at #SXSW w/ a free GLASSER track.. Pick it up! {link},,No emotion toward brand or product,24,rad rt hey dude giving away sampler band sxsw w free glasser track pick link
"cool} ���@mention Hoot! HootSuite #Mobile for #SXSW ~ Updates for #iPhone, #BlackBerry #Android {link}",,No emotion toward brand or product,14,cool hoot hootsuite mobile sxsw update iphone blackberry android link
"#sxsw: @mention intrvw @mention &quot;Govt is not a vending machine [put in $, get svcs], it's a platform; iPhone was a teaching moment&quot;",iPhone,Positive emotion,23,sxsw intrvw quotgovt vending machine put get svcs platform iphone teaching momentquot
"#sxsw: @mention intrvw @mention &quot;Schmidt [Google CEO] told me: u'r good at telling stories; go talk to lots of ppl, tell us what u hear&quot;",,No emotion toward brand or product,25,sxsw intrvw quotschmidt google ceo told ur good telling story go talk lot ppl tell u u hearquot
Is the @mention iphone app sync functionality working yet? #sxsw,,No emotion toward brand or product,10,iphone app sync functionality working yet sxsw
Ha! RT @mention It's not a rumor: Apple is opening up a temporary store in downtown Austin for #SXSW &amp; the iPad 2 launch {link},,No emotion toward brand or product,25,ha rt rumor apple opening temporary store downtown austin sxsw amp ipad launch link
Woot! ���@mention It's not a rumor: Apple is opening a temporary store in downtown Austin for #SXSW and the iPad 2 launch {link},Apple,Positive emotion,23,woot rumor apple opening temporary store downtown austin sxsw ipad launch link
"YES RT @mention LoL U r gadgetzilla! Have fun! @mention It's #SXSW Festival time. OMG I'm scared! Got my netbook, #iPad &amp; my droid!",iPad,Positive emotion,24,yes rt lol u r gadgetzilla fun sxsw festival time omg im scared got netbook ipad amp droid
{link} @mention new mobile app. Your store circulars via Android Blackberry iOS Even Austin &amp; #SXSW {link},,No emotion toward brand or product,17,link new mobile app store circular via android blackberry io even austin amp sxsw link
Wew RT @mention New #UberSocial for #iPhone now in the App Store includes UberGuide to #SXSW sponsored by (cont) {link},iPad or iPhone App,Positive emotion,20,wew rt new ubersocial iphone app store includes uberguide sxsw sponsored cont link
Badger @mention on Angel News #sxsw {link} - nice one. Also we're giving away a free iPad 2 - {link} #contest,,Positive emotion,21,badger angel news sxsw link nice one also giving away free ipad link contest
Video: @mention Playbook in action at #SXSW - {link} iPad still wins.,iPad,Positive emotion,12,video playbook action sxsw link ipad still win
"#sxsw: @mention Rather, in Web 2.0: large data sets became valuable: Amazon, Google AdWords, Netflix",,No emotion toward brand or product,15,sxsw rather web large data set became valuable amazon google adwords netflix
I hope @mention realizes already 100 people are in line at their pop up  #sxsw store downtown and stocked appropriately #ipad2,,No emotion toward brand or product,21,hope realizes already people line pop sxsw store downtown stocked appropriately ipad
...and @mention seems to be holding up well. Surprisingly. Big event! #sxsw #lxh #google,,No emotion toward brand or product,14,seems holding well surprisingly big event sxsw lxh google
Fluffy @mention seen @mention party last night with @mention &amp; @mention camera  {link} #sxsw #sxsi,,No emotion toward brand or product,15,fluffy seen party last night amp camera link sxsw sxsi
And... @mention starts new show and app for iPhone... Daily Grape #sxsw.,,No emotion toward brand or product,12,start new show app iphone daily grape sxsw
Pop up @mention store in Austin.   Brilliant. Long lines even at 9:30 at night #SXSW  {link},Apple,Positive emotion,16,pop store austin brilliant long line even night sxsw link
Inline @mention the Apple popup waiting for iPad2 action #sxsw,,No emotion toward brand or product,10,inline apple popup waiting ipad action sxsw
Lol RT @mention The Google party line starts behind me. Ha! The Germ has put her towel down early... #sxsw,,No emotion toward brand or product,20,lol rt google party line start behind ha germ put towel early sxsw
"#sxsw: @mention Thinks Larry's elevation at Google is great: &quot;lost their way, caring too much about the biz, not enough about the world&quot;",Google,Positive emotion,23,sxsw think larrys elevation google great quotlost way caring much biz enough worldquot
Fan up @mention To kick off #SXSWi @mention is giving away an iPad 2... Just visit the FB page to enter: {link} #SXSW,,No emotion toward brand or product,23,fan kick sxswi giving away ipad visit fb page enter link sxsw
"#sxsw: @mention We think we control our identities on Facebook, but as Google becomes an AI our profile will be built of what we do",,I can't tell,25,sxsw think control identity facebook google becomes ai profile built
Wow! RT@mention We interrupt your regularly scheduled #sxsw geek programming with big news {link}  #google #circles,,Positive emotion,16,wow rt interrupt regularly scheduled sxsw geek programming big news link google circle
HahaRT @mention Woke up on a pile of iPad 2's &amp; empty 4 Loko cans. Think I might have Yobongoed someone last night #SXSW #Stratlandia,,No emotion toward brand or product,25,hahart woke pile ipad amp empty loko can think might yobongoed someone last night sxsw stratlandia
Wow RT @mention Yes! Gowalla wins best Andoid app at the Team Android Choice Awards. Thanks all! #sxsw,Android App,Positive emotion,18,wow rt yes gowalla win best andoid app team android choice award thanks sxsw
Google smentisce novit�� in arrivo RT @mention We're not launching any products at #SXSW but we're doing plenty else {link},,No emotion toward brand or product,20,google smentisce novit arrivo rt launching product sxsw plenty else link
Scoping venue 4 @mention #CloudCamp #Austin: Valhalla Lounge. great whiskey &amp; beer PLUS Demolition Man Pinball! {link} #sxsw,,No emotion toward brand or product,18,scoping venue cloudcamp austin valhalla lounge great whiskey amp beer plus demolition man pinball link sxsw
My #iPad envy is through. the. roof. Thanks every other person at #SXSW,iPad,Positive emotion,13,ipad envy roof thanks every person sxsw
Watch Someone 'Hack' Times Square TV Screens with an iPhone (via @mention {link} #SXSW #tech #amazing #winning,,No emotion toward brand or product,17,watch someone hack time square tv screen iphone via link sxsw tech amazing winning
Maybe someone that gets the #ipad2 at #SXSW will hand me their old iPad instead of throwing it away,,Positive emotion,19,maybe someone get ipad sxsw hand old ipad instead throwing away
What do people think of the rumored &quot;social networking&quot; program from #Google called #Circles. Are they too late to the game? #SXSW,,No emotion toward brand or product,22,people think rumored quotsocial networkingquot program google called circle late game sxsw
Google+Deep Eddy Sweet Tea vodka+ GSDM cool factor #SXSW (@mention GSD&amp;M w/ 120 others) {link},,Positive emotion,15,googledeep eddy sweet tea vodka gsdm cool factor sxsw gsdampm w others link
Oh no utter @mention #sxsw fail. Can't see the letter of the ballroom in the iPhone app as it is too long and doesn't wrap /cc @mention,iPad or iPhone App,Negative emotion,27,oh utter sxsw fail cant see letter ballroom iphone app long doesnt wrap cc
"iPad2 owner already punched Android user. Sweet! Seriously, excited for this session. #platform #sxsw #gsdm",,No emotion toward brand or product,15,ipad owner already punched android user sweet seriously excited session platform sxsw gsdm
Time Warner Cable to roll iPad app with live TV on March 15 {link} #entry #friends #house #sxsw,,No emotion toward brand or product,18,time warner cable roll ipad app live tv march link entry friend house sxsw
"Life Hacker debuts Steampunk iPad: 37 ft reclaimed copper piping, one mini-maglight, and &quot;kinda thin&quot; etch-a-sketch interface. #sxsw",iPad,Positive emotion,18,life hacker debut steampunk ipad ft reclaimed copper piping one minimaglight quotkinda thinquot etchasketch interface sxsw
New Twitter friend @mention about to take on Google's @mention &amp; Bing's @mention on (what else) SEO #qagb #sxsw,,No emotion toward brand or product,19,new twitter friend take google amp bings else seo qagb sxsw
An engineer from Google Chrome just came up to correct some misstatements about the browser. Awesome! #payingwithdata #sxsw,Google,Positive emotion,18,engineer google chrome came correct misstatement browser awesome payingwithdata sxsw
Ever wonder how Google Maps captures those street views? #SXSW {link},,No emotion toward brand or product,11,ever wonder google map capture street view sxsw link
Mega tether iPhone/Android party with @mention and @mention . #chargin2diffphonesatonce #dorkinout #sxsw,iPhone,Positive emotion,12,mega tether iphoneandroid party chargindiffphonesatonce dorkinout sxsw
Brown Paper is coming down on the windows of the #SXSW PopUp Apple Store.  {link},,No emotion toward brand or product,15,brown paper coming window sxsw popup apple store link
Gamechanger like Wave and Buzz no doubt RT @mention Google to Launch Major New Social Network Called Circles {link} #sxsw,Other Google product or service,Negative emotion,20,gamechanger like wave buzz doubt rt google launch major new social network called circle link sxsw
"Ha! Another mention for Apple Store: {link} - RT @mention Temporary #Apple store on 6th and Congress for #sxsw, along w...",,No emotion toward brand or product,21,ha another mention apple store link rt temporary apple store th congress sxsw along w
It is never more apparent than at #sxsw how nice it would be if apple made stuff w/ removable batteries. #alwayshavingtoplugin #gsdm,Apple,Negative emotion,22,never apparent sxsw nice would apple made stuff w removable battery alwayshavingtoplugin gsdm
2 read l8er RT ���@mention Marissa Mayer: Google Will Connect the Digital &amp; Physical Worlds Through Mobile - {link} #sxsw�۝,Google,Positive emotion,20,read ler rt marissa mayer google connect digital amp physical world mobile link sxsw
RT to enter the contest and maybe win an iPad 2 from @mention #sxsw,iPad,Positive emotion,14,rt enter contest maybe win ipad sxsw
"Days closer to becoming an owner of an iPad 2. So so so so stoked.
Only thing getting me through finals and not being at #SXSW",iPad,Positive emotion,26,day closer becoming owner ipad stoked thing getting final sxsw
"#SXSW Interactive: Google's Mobile Future, and the Elusive 'Power of��Here' {link} via @mention",,No emotion toward brand or product,13,sxsw interactive google mobile future elusive power ofhere link via
"#SXSW Interactive: Google�۪s Mobile Future, and the Elusive ���Power of Here' | @mention {link}",,No emotion toward brand or product,14,sxsw interactive google mobile future elusive power link
"I am desperate to charge my iPad as I lost my charger, does anyone know where I can connect to a charger? #SXSW thanks :)",,No emotion toward brand or product,25,desperate charge ipad lost charger anyone know connect charger sxsw thanks
Gary Vaynerchuck l�_gger ner winelibrary.tv och sl�_pper i st�_llet Iphone-appen Daily Grape. #thankyoueconomy #sxsw #swesxsw,,No emotion toward brand or product,15,gary vaynerchuck lgger ner winelibrarytv och slpper stllet iphoneappen daily grape thankyoueconomy sxsw swesxsw
Why is there a line waiting for temp Apple store to open at #sxsw? Did I miss a product launch?,,No emotion toward brand or product,20,line waiting temp apple store open sxsw miss product launch
"Sitting here at the #Flipboard panel, wishing I had my #iPad with me. Alas, my two year old has completely overtaken it. #SXSW #Flipboard",iPad,Positive emotion,24,sitting flipboard panel wishing ipad ala two year old completely overtaken sxsw flipboard
Almost there! #SXSW #Austin #apple  {link},,No emotion toward brand or product,6,almost sxsw austin apple link
Day 3 -There's still a long line at Apple store in Austin. #apple #ipad2 #sxsw,,No emotion toward brand or product,15,day there still long line apple store austin apple ipad sxsw
"#iPad interface/controls should be at the top, mobile controls at the bottom. #tapworthy #sxsw",iPad,No emotion toward brand or product,14,ipad interfacecontrols top mobile control bottom tapworthy sxsw
Ahh. Wonderful news! RT @mention iPad 2 - is now available for online ordering. Go get urs. :-) #Sxsw,iPad,Positive emotion,19,ahh wonderful news rt ipad available online ordering go get ur sxsw
We're experimenting and tinkering again like in the nineties: &quot;Best viewed on iPad is the new best viewed on Internet Explorer 6&quot; #sxsw,iPad,Positive emotion,23,experimenting tinkering like ninety quotbest viewed ipad new best viewed internet explorer quot sxsw
I am suffering from iPad envy. #sxsw,iPad,Positive emotion,7,suffering ipad envy sxsw
MyPOV: #verizon wins hands down for network.  Hard to use new services like #beluga with a crappy #att #iphone network #sxsw,,No emotion toward brand or product,21,mypov verizon win hand network hard use new service like beluga crappy att iphone network sxsw
Device overload here at #SXSW. Ratio of Apple devices to people nearing 3.,,No emotion toward brand or product,13,device overload sxsw ratio apple device people nearing
"#SXSW movers &amp; shakers, @mention is publishing a &quot;Poke the Box&quot; eBook. Get involved: {link} (RT @mention #in",,No emotion toward brand or product,18,sxsw mover amp shaker publishing quotpoke boxquot ebook get involved link rt
iPhone users at #SXSW - any of you have your GPS stuck on? Is one of the new geo app updates doing it? FourSquare/gowalla?,iPhone,Negative emotion,24,iphone user sxsw gps stuck one new geo app update foursquaregowalla
What matters most: {link} It's all in the title!!! #touchingstories #iPad and/or #tablet #SXSW,,No emotion toward brand or product,14,matter link title touchingstories ipad andor tablet sxsw
Apple offers original iPad donation program {link} #entry #friends #house #sxsw,,Positive emotion,11,apple offer original ipad donation program link entry friend house sxsw
Apple Offers Up Free iTunes Sampler Ahead of #SXSW to feature new artists {link} via @mention #music,,No emotion toward brand or product,17,apple offer free itunes sampler ahead sxsw feature new artist link via music
"More farmers use BlackBerry than iPhone, but iPad is catching on because of bigger screen. #mobilefarm #sxsw",iPad,Positive emotion,17,farmer use blackberry iphone ipad catching bigger screen mobilefarm sxsw
"Don't understand people who paid and travelled all the way to #sxsw would wait for hours to get ipad2, esp. when they already have an ipad.",,No emotion toward brand or product,26,dont understand people paid travelled way sxsw would wait hour get ipad esp already ipad
Texas Observer Tomlinson says they would double revenue per issue with iPad subscriptions. #newsapps #sxsw,iPad,Positive emotion,15,texas observer tomlinson say would double revenue per issue ipad subscription newsapps sxsw
Great interview to @mention on Bloomberg TV about #Ipad2 to kick off #SxSW.#apple {link},iPad,Positive emotion,14,great interview bloomberg tv ipad kick sxswapple link
Video interview with @mention &amp; @mention at #SXSW &quot;Google deals&quot; {link},,No emotion toward brand or product,11,video interview amp sxsw quotgoogle dealsquot link
Almost every &quot;how do you _______?&quot; is answered w Google Docs in this session.  #sxsw #looseorganizations,,No emotion toward brand or product,16,almost every quothow quot answered w google doc session sxsw looseorganizations
"This is very cool, Google is basically foing their version of an Apple event and showing a ton of new product features. #sxsw",Google,Positive emotion,23,cool google basically foing version apple event showing ton new product feature sxsw
This is very cool. Potential of non-text applications on iPhone. Awesome. #sxsw,iPad or iPhone App,Positive emotion,12,cool potential nontext application iphone awesome sxsw
Pair of very nice back to back talks this morning on interface design for iPad and the future of touch in general #sxsw ...,iPad,Positive emotion,24,pair nice back back talk morning interface design ipad future touch general sxsw
I hope everyone has an awesome weekend at #SXSW! I know @mention is giving away some great Apple prizes.,Apple,Positive emotion,19,hope everyone awesome weekend sxsw know giving away great apple prize
I hope everyone RSVP'd for the temporary downtown Austin Apple store for #SXSW.,,No emotion toward brand or product,13,hope everyone rsvpd temporary downtown austin apple store sxsw
"Free iTunes Album, #SXSW Featured Artists, grab it if you missed it: {link}",,Positive emotion,13,free itunes album sxsw featured artist grab missed link
Apple takes bruises from panelists. Not well regarded in sustainability space.  Corporate Sustainability Reporting and Transparency.  #SXSW,Apple,Negative emotion,17,apple take bruise panelist well regarded sustainability space corporate sustainability reporting transparency sxsw
"At Mistakes I Made Building Netflix for the iPhone at SXSW.
{link} #SXSW #netflixiphone",,No emotion toward brand or product,14,mistake made building netflix iphone sxsw link sxsw netflixiphone
Apple likes it if you pay them. That's what Apple likes. - Barry Diller #SXSW,Apple,Negative emotion,15,apple like pay thats apple like barry diller sxsw
"Apple likes it when you pay them. As long as the gadget will be liked by many, this closed system will work. #pnid #sxsw",,No emotion toward brand or product,24,apple like pay long gadget liked many closed system work pnid sxsw
The dailies on iPad are going to evolve...they're still impossible to download (20 MB and up downloads) #sxsw,,Negative emotion,18,daily ipad going evolvetheyre still impossible download mb downloads sxsw
iPad 2 goes on sale at 3 pm at #sxsw - I'm looking at you @mention ;) (32 gig no color preference) :),iPad,Positive emotion,23,ipad go sale pm sxsw im looking gig color preference
"Mayer comes out sans intro, still gets cheers. #techrockstar Launches into Google's priority on location - Fast, Fun &amp; Future #sxsw",Google,Positive emotion,21,mayer come sans intro still get cheer techrockstar launch google priority location fast fun amp future sxsw
Free iTunes SXSW &quot;Featured Artists&quot; sampler: {link} #free #music #SXSW,Other Apple product or service,Positive emotion,10,free itunes sxsw quotfeatured artistsquot sampler link free music sxsw
"Apple saves SXSW, set to open pop-up store - CNET News {link} #sxsw",Apple,Positive emotion,13,apple save sxsw set open popup store cnet news link sxsw
"Apple saves SXSW, set to open pop-up store {link} #Apple #SXSW",Apple,Positive emotion,11,apple save sxsw set open popup store link apple sxsw
SXSW ladies with STDs: the iPad bot on twitter creator is the persistent guy who chased you all last night. #TakeOneForTheTeam #SXSW,,No emotion toward brand or product,22,sxsw lady std ipad bot twitter creator persistent guy chased last night takeonefortheteam sxsw
