cleaned_text,brand_target,sentiment_target,multi_class_target
forbidden apple spoiled long live samsung rocking sxsw amp sxswis world,Apple,Negative emotion,Apple-Negative emotion
made decision like purchase ipad would perfect sxsw,Apple,Positive emotion,Apple-Positive emotion
decided need ipad usguys sxsw,Apple,Positive emotion,Apple-Positive emotion
model one sxsw quotapple come cool tech one ever heard cuz dont conferencesquot,Apple,Positive emotion,Apple-Positive emotion
great demo link xoom sxsw android tech tablet,Google,Positive emotion,Google-Positive emotion
ipad design panel hilton salon filling quickly surprise tapworthy sxsw fun ipad,Apple,Positive emotion,Apple-Positive emotion
bit disappointed two ipad talk many overlapping example sxsw,Apple,Negative emotion,Apple-Negative emotion
hope didnt jinx nice iphone app behaving today crash yesterday ridiculous sxsw,Apple,Positive emotion,Apple-Positive emotion
thank goodness ran ipad dont worry giving buying one popup apple store sxsw,Apple,Positive emotion,Apple-Positive emotion
fest tipdont iphone doucheput away phone talk fellow festgoers line etcall good people love film sxsw,Apple,Negative emotion,Apple-Negative emotion
drink called alan turing making lego robot google sxsw speakeasy link,Google,Positive emotion,Google-Positive emotion
apple driving quotconsumerizationquot empowered sxsw,Apple,Positive emotion,Apple-Positive emotion
android party kinda embarrassed iphone sxsw,Apple,Negative emotion,Apple-Negative emotion
schedule heavier laptop wheres ipad already sxsw,Apple,Positive emotion,Apple-Positive emotion
kinda giddy theindustryparty google amp gsdm finally fun come non swsurrogates sxsw notpouting,Google,Positive emotion,Google-Positive emotion
google body beta uber sxsw healthdev cool,Google,Positive emotion,Google-Positive emotion
anybody get sxsw mobile apps work ive downloaded android iphone blackberry get stuck downloading startup,Apple,Negative emotion,Apple-Negative emotion
already jealous apple popup store sxsw link gonnagetanipad,Apple,Positive emotion,Apple-Positive emotion
already tell brought as pillow iphone backup charger sxsw numbassonfloor,Apple,Positive emotion,Apple-Positive emotion
find playing sxsw eventseekr app android got link,Google,Positive emotion,Google-Positive emotion
see quotleft brain search google right brain search xquot panel sxsw bettersearch,Google,Positive emotion,Google-Positive emotion
srsly love promo srsly hate excludes esp since ipad insists disney sxsw,Apple,Negative emotion,Apple-Negative emotion
google aclu party tonight sxsw best thing ever apparently spazmatics franchised band rock,Google,Positive emotion,Google-Positive emotion
dgtltribe sxsw openbeta ipad giveaway fantastic going squeeze,Apple,Positive emotion,Apple-Positive emotion
loving music aclu google party sxsw,Google,Positive emotion,Google-Positive emotion
sure total scene spoke austin apple store cautiously optimistic nerd sxsw,Apple,Positive emotion,Apple-Positive emotion
add google alert project amazing thing happensxsw,Google,Positive emotion,Google-Positive emotion
look like apps sxsw iphone blackberry blackberry link,Apple,Positive emotion,Apple-Positive emotion
even use iphone evidence sxsw might well call country united state apple sxswsa,Apple,Positive emotion,Apple-Positive emotion
google analytics dfp expert sxsw would love insight managing dfp campaign managementmeasurement hisxsw,Google,Positive emotion,Google-Positive emotion
liking apple popup store sixth street congress avenue sxsw,Apple,Positive emotion,Apple-Positive emotion
fail whale artist living ipad sxsw link,Apple,Positive emotion,Apple-Positive emotion
line sxsw longer temp apple store ipad microsoft booth yeah right,Apple,Positive emotion,Apple-Positive emotion
short line apple pop store austin people ipad sxsw link,Apple,Positive emotion,Apple-Positive emotion
whoa line pop apple store downtown austin ipad midnight madness sxsw link,Apple,Positive emotion,Apple-Positive emotion
new iphone autocorrect already tried change quotcoworkersquot quotvisigothsquot going long five day sxsw,Apple,Negative emotion,Apple-Negative emotion
iphone battery made sxsw,Apple,Negative emotion,Apple-Negative emotion
one best photo apps iphone hipstamatic getting apps sxsw hipstamatic link,Apple,Positive emotion,Apple-Positive emotion
smart move apple opening popup store ipad launch downtown austin sxsw link,Apple,Positive emotion,Apple-Positive emotion
sweet convore iphone app ready sxsw link,Apple,Positive emotion,Apple-Positive emotion
guy couch playing white ipad mashbash party around making statement dammit sxsw,Apple,Positive emotion,Apple-Positive emotion
yes apple design win new isack soo cool sxsw link,Apple,Positive emotion,Apple-Positive emotion
apple fanboy bought ipad sweeeet sxsw special apple popup store,Apple,Positive emotion,Apple-Positive emotion
hey apple fan get peek space thats slated popup sxsw apple store tomorrow link,Apple,Positive emotion,Apple-Positive emotion
new circle game google try launch new social network called circle link sxsw,Google,Negative emotion,Google-Negative emotion
going foot sxsw dont forget stop newest apple store austin link,Apple,Positive emotion,Apple-Positive emotion
google party rock sxsw,Google,Positive emotion,Google-Positive emotion
here guy bought first ipad sxsw popup store hope register thoora beta link,Apple,Positive emotion,Apple-Positive emotion
xwave headset actually control iphone apps brain sxswnui gsdm sxsw,Apple,Positive emotion,Apple-Positive emotion
man hipster getting crazy google party sxsw link,Google,Positive emotion,Google-Positive emotion
apple hope didnt notice ipad link sxsw sxswi technology mobile prodmktg,Apple,Negative emotion,Apple-Negative emotion
look like hour late getting ipad sxsw sadpanda,Apple,No emotion toward brand or product,Apple-No emotion toward brand or product
would interested hear recomds recommends using google voice separate work life evolvingworkplace sxsw,Google,Positive emotion,Google-Positive emotion
win free ipad webdoccom sxsw awesome tech right,Apple,Positive emotion,Apple-Positive emotion
inside ipad chip brings browsing boost best hungry sxsw tip mekong river link,Apple,Positive emotion,Apple-Positive emotion
omgfree ipad salon one sxsw,Apple,Positive emotion,Apple-Positive emotion
would love ipad sxsw get food dont forget snap photo win macbook air ipad,Apple,Positive emotion,Apple-Positive emotion
future network data thats google may win long term sxsw web saatchiny,Google,Negative emotion,Google-Negative emotion
hope may someday keynote swsx bored keynote sxsw ipad link,Apple,Positive emotion,Apple-Positive emotion
volume overwhelming market selfpolice thats user picked google bing curatedebate sxsw,Google,Positive emotion,Google-Positive emotion
leaning web convention like small button ipad uxdes sxsw,Apple,Negative emotion,Apple-Negative emotion
google map app save life regular basis map million user user mobile sxsw,Google,Positive emotion,Google-Positive emotion
one inyourface stealing show yr quotat sxsw apple school mkt expertsquot link,Apple,Positive emotion,Apple-Positive emotion
loving new iphone app suggestion coming sxsw,Apple,Positive emotion,Apple-Positive emotion
omg table next passing around ipad hipstermuch sxsw,Apple,Positive emotion,Apple-Positive emotion
tim get one apple employee showed force sxsw popup apple store ipad,Apple,Positive emotion,Apple-Positive emotion
google party line start behind germ put towel early sxsw,Google,Positive emotion,Google-Positive emotion
wow apple pop store downtown austin projecting million profit weekend alone may stay past weekend sxsw,Apple,Positive emotion,Apple-Positive emotion
omg apple popup retail sxsw please let full palette ipads truck parked back,Apple,Positive emotion,Apple-Positive emotion
use google profile entry point personal try digg google reader draw people hireme sxsw,Google,Positive emotion,Google-Positive emotion
wow apple really thought sxsw link,Apple,Positive emotion,Apple-Positive emotion
lol true official people using ipad take photo look weird sxsw,Apple,Negative emotion,Apple-Negative emotion
yes please sxsw want win ipad get case,Apple,Positive emotion,Apple-Positive emotion
nice simple idea hello holler gram get know new ipad app link hollergram sxsw,Apple,Positive emotion,Apple-Positive emotion
trying steve wozniak drink free thanks google hckers sxsw speakeasy link,Google,Positive emotion,Google-Positive emotion
temp apple store killing austin selling early every day sxsw,Apple,Positive emotion,Apple-Positive emotion
apple store popped sxsw huge crowd waiting geek dream come true link,Apple,Positive emotion,Apple-Positive emotion
sxsw apple survival kit i۪m taking apple stuff sxsw clothes link,Apple,Positive emotion,Apple-Positive emotion
hmm sxswcominteractivelive stream isnt ipadmobile compatible maybe next year sxsw,Apple,Negative emotion,Apple-Negative emotion
third time charmgtgtgt google launch new social network sxsw cnet news link,Google,Positive emotion,Google-Positive emotion
yay love ipad perfectly portable travel weve thanks sxsw popup store,Apple,Positive emotion,Apple-Positive emotion
got love sxsw google calendar featuring top party show case check via gtlink,Google,Positive emotion,Google-Positive emotion
look like fun session sxsw quotmistakes made building nextflix iphonequot link,Apple,Positive emotion,Apple-Positive emotion
may hide sxsw tweet think apple popup store final straw yes jealous,Apple,Positive emotion,Apple-Positive emotion
would like know lb app downloaded commandeered iphones geolocation setting amp wont relinquish batterykiller sxsw,Apple,Negative emotion,Apple-Negative emotion
google ipad app connected experience talk super rad sxsw sxsw,Apple,Positive emotion,Apple-Positive emotion
great see ill austin convention center today fam showing new iphone game sxsw,Apple,Positive emotion,Apple-Positive emotion
foursquare ups game time sxsw link still prefer far best looking android app date,Google,Positive emotion,Google-Positive emotion
iphone user kill self hated ubertwitter new ubersocial iphone app store includes uberguide sxsw,Apple,Positive emotion,Apple-Positive emotion
attn dude using new ipad camera middle overcrowded sxsw presentation rock fail,Apple,No emotion toward brand or product,Apple-No emotion toward brand or product
spoke google using semantic tech make searching user review better sxsw cmswire web,Google,Positive emotion,Google-Positive emotion
traded xoom party ipad sxsw winwin winning tigerblood,Apple,Positive emotion,Apple-Positive emotion
dear apple could roll hot dog cart full ipad austin convention center bring hot dog sxsw,Apple,Positive emotion,Apple-Positive emotion
new iphone new ipad come running fast cuz every girl crazy sharp mac man strum guitar sxsw,Apple,Positive emotion,Apple-Positive emotion
hey people sxsw launch follow detail chance free ipad,Apple,Positive emotion,Apple-Positive emotion
want one rumor apple opening temporary store downtown austin sxsw ipad launch link,Apple,Positive emotion,Apple-Positive emotion
apple ridiculous even begin apple winssxsw link via,Apple,Positive emotion,Apple-Positive emotion
genius idea apple popup store sxsw link,Apple,Positive emotion,Apple-Positive emotion
update heading apple store buy ipad sxsw,Apple,Positive emotion,Apple-Positive emotion
getting ready quotipad design headachesquot sxsw,Apple,Negative emotion,Apple-Negative emotion
getting ready sxsw installing iphone woot link,Apple,Positive emotion,Apple-Positive emotion
sxsw already paying dividend discovered couple cool apps iphone android,Apple,Positive emotion,Apple-Positive emotion
never realized shitty iphone battery sxsw charging every hour,Apple,Negative emotion,Apple-Negative emotion
apple steal show popup marketing sxswgt link,Apple,Positive emotion,Apple-Positive emotion
met team set sxsw apple store set whole place nothing day great work,Apple,Positive emotion,Apple-Positive emotion
nice hear mintcom working ipad app ftw sxswi sxsw,Apple,Positive emotion,Apple-Positive emotion
appears apple opening pop store austin sxsw employee trying hide beechwood table gave away,Apple,Positive emotion,Apple-Positive emotion
several year late think trend social apps sxsw google circle conversation,Apple,Negative emotion,Apple-Negative emotion
another reason austin apple open sxsw popup store link,Apple,Positive emotion,Apple-Positive emotion
great blog latest news sxsw like opening apple store link sxsw,Apple,Positive emotion,Apple-Positive emotion
thats great unique sxsw one iphone others follower iphone winning,Apple,Positive emotion,Apple-Positive emotion
quotfacebook google biggest competitorsquot said sqs crowley sxsw eurosxsw,Google,Positive emotion,Google-Positive emotion
today tech tidbit ipad take sxsw video link via ipad sxsw tech,Apple,Positive emotion,Apple-Positive emotion
echofon iphone amp mac mute۝ function block sxsw amp sxswi i۪m can۪t wait,Apple,Positive emotion,Apple-Positive emotion
heck doesnt google map use browser geolocation missing somehow using chrome sxsw startupbus,Google,Negative emotion,Google-Negative emotion
heck would anyone want mozilla switch crapkit webkit gecko good stupid applegoogle bandwaggoners sxsw,Apple,Negative emotion,Apple-Negative emotion
woah expect google circle today sxsw google league extraordinary hacker event today big,Google,Positive emotion,Google-Positive emotion
apple cited opposite crowdsourcing proprietary steve job tell want csuitecsourcing sxsw,Apple,Negative emotion,Apple-Negative emotion
amused apple popup store sxsw year brilliant idea brilliant link,Apple,Positive emotion,Apple-Positive emotion
walked line ipad bahahahaha least block long fail sxsw,Apple,Negative emotion,Apple-Negative emotion
called hot spot mobile heatmap iphone app leveraging sxsw help find hot quiet place,Apple,Positive emotion,Apple-Positive emotion
updated iphone app song info select stream incl amp live video streaming time sxsw link,Apple,Positive emotion,Apple-Positive emotion
yes nailed google circle allow online communication respect boundary offline social life sxsw,Google,Positive emotion,Google-Positive emotion
connected bluetooth keyboard iphone hello fast blogging sxsw,Apple,Positive emotion,Apple-Positive emotion
convinced upgrade ipad held one sxsw trade show failed willpower check,Apple,Positive emotion,Apple-Positive emotion
showed charge anywhere bar charge iphone whole table wanted buy one sxsw,Apple,Positive emotion,Apple-Positive emotion
walked past supposed apple sxsw temp store downstairs apple cult outside taking photo iphones,Apple,Negative emotion,Apple-Negative emotion
picked book killer photoes iphone sxsw sxswchi link,Apple,Positive emotion,Apple-Positive emotion
picked ipad back sxsw link,Apple,Positive emotion,Apple-Positive emotion
free coffee company free drink company free food company money saved go apple life sxsw,Apple,Positive emotion,Apple-Positive emotion
nice see speaker sneak irrelevant snarky comment apple class sxsw authenticationdesign,Apple,No emotion toward brand or product,Apple-No emotion toward brand or product
guess need figure session ipad app killer selection overwhelming sxsw,Apple,Positive emotion,Apple-Positive emotion
week sxsw total ipad envy,Apple,Positive emotion,Apple-Positive emotion
google see future evolving mobile social local converge yield even relevant result sxsw,Google,Positive emotion,Google-Positive emotion
good meet see dont forget mindjet giving away ipad best mindmanager map sxswi detail link,Apple,Positive emotion,Apple-Positive emotion
prefer news iphone ipad droid apps amp mobile apps sxsw,Apple,Positive emotion,Apple-Positive emotion
google prefers launch hyped new social feature meh bang via link sxsw,Google,Negative emotion,Google-Negative emotion
like vega ce iphone best used hand warmer sxsw,Apple,Negative emotion,Apple-Negative emotion
great panel ipad magazine design pulling article different mag sound awesome who going build touchingstories sxsw,Apple,Positive emotion,Apple-Positive emotion
airport delay sxsw introduced catphysics feel like drug pusher first ipad play free,Apple,Positive emotion,Apple-Positive emotion
apple release ipad sxsw huge win especially international attendee town show,Apple,Positive emotion,Apple-Positive emotion
note self downside tweeting white ipad expect mocked sxsw,Apple,Negative emotion,Apple-Negative emotion
quoti believe god explanation apple continued existencequot guy kawasaki enchantment sxsw,Apple,Positive emotion,Apple-Positive emotion
cant believe google announced maggie maes game changer sure sxsw,Google,Positive emotion,Google-Positive emotion
tell sxsw happening iphone apps update day,Apple,Positive emotion,Apple-Positive emotion
insanely jealous everyone ipad sxsw seems like great way interact panel next year,Apple,Positive emotion,Apple-Positive emotion
apple temporary megastore sxsw could model future conferencesevents link,Apple,Positive emotion,Apple-Positive emotion
google seems sabotaged youtube account wtf trying entire online ecosystem bad form sxsw,Google,Negative emotion,Google-Negative emotion
arent google missed dance party lifetime sxsw,Google,Positive emotion,Google-Positive emotion
friend sxsw think abandoned reality didnt mean communication iphone stopped working fail,Apple,Negative emotion,Apple-Negative emotion
normal scene sxsw ipad lap iphone hand link,Apple,Positive emotion,Apple-Positive emotion
happened taxi magic iphone app call cab via sxsw,Apple,Negative emotion,Apple-Negative emotion
suspense google launch major new social network called circle possibly today link sxsw,Google,Positive emotion,Google-Positive emotion
funny moment sxsw panel dennis crowley get ipad owner hold new ipad looked like lighter rock concert,Apple,Positive emotion,Apple-Positive emotion
next presentation google marissa mayer great sxsw austin convention center link,Google,Positive emotion,Google-Positive emotion
sxsw essential waterenergy bar smart phone camera map sunglass rainjacket laptopipad playeripod earplug,Apple,Positive emotion,Apple-Positive emotion
love apple popup store sxsw one question atampt bring truck signal please say yes,Apple,Positive emotion,Apple-Positive emotion
sxsw quotapple come cool technology one ever heard dont conferencesquot۝,Apple,Positive emotion,Apple-Positive emotion
geek need somewhere downtown line get ipad ill dropping sxsw,Apple,Positive emotion,Apple-Positive emotion
lol sxsw quotapple come cool technology one ever heard dont conferencesquot,Apple,Positive emotion,Apple-Positive emotion
lol sxsw quotapple come cool technology one ever heard dont conferencesquot via,Apple,Positive emotion,Apple-Positive emotion
lol sxsw quotapple come cool technology one ever heard dont conferencesquot ausxsw,Apple,Positive emotion,Apple-Positive emotion
link chatting via iphone hilarious sxsw,Apple,Positive emotion,Apple-Positive emotion
thanks giving new top cover banged juicepack iphone case product rock tradeshow sxsw,Apple,Positive emotion,Apple-Positive emotion
google guy sxsw talk explaining made realistic twitter bot experiment gee thanks,Google,Negative emotion,Google-Negative emotion
sxsw intrvw quotgovt vending machine put get svcs platform iphone teaching momentquot,Apple,Positive emotion,Apple-Positive emotion
woot rumor apple opening temporary store downtown austin sxsw ipad launch link,Apple,Positive emotion,Apple-Positive emotion
yes lol gadgetzilla fun sxsw festival time omg scared got netbook ipad amp droid,Apple,Positive emotion,Apple-Positive emotion
wew new ubersocial iphone app store includes uberguide sxsw sponsored cont link,Apple,Positive emotion,Apple-Positive emotion
video playbook action sxsw link ipad still win,Apple,Positive emotion,Apple-Positive emotion
pop store austin brilliant long line even night sxsw link,Apple,Positive emotion,Apple-Positive emotion
sxsw think larrys elevation google great quotlost way caring much biz enough worldquot,Google,Positive emotion,Google-Positive emotion
wow yes gowalla win best andoid app team android choice award thanks sxsw,Google,Positive emotion,Google-Positive emotion
ipad envy roof thanks every person sxsw,Apple,Positive emotion,Apple-Positive emotion
utter sxsw fail cant see letter ballroom iphone app long doesnt wrap,Apple,Negative emotion,Apple-Negative emotion
life hacker debut steampunk ipad reclaimed copper piping one minimaglight quotkinda thinquot etchasketch interface sxsw,Apple,Positive emotion,Apple-Positive emotion
engineer google chrome came correct misstatement browser awesome payingwithdata sxsw,Google,Positive emotion,Google-Positive emotion
mega tether iphoneandroid party chargindiffphonesatonce dorkinout sxsw,Apple,Positive emotion,Apple-Positive emotion
gamechanger like wave buzz doubt google launch major new social network called circle link sxsw,Google,Negative emotion,Google-Negative emotion
never apparent sxsw nice would apple made stuff removable battery alwayshavingtoplugin gsdm,Apple,Negative emotion,Apple-Negative emotion
read ler marissa mayer google connect digital amp physical world mobile link sxsw۝,Google,Positive emotion,Google-Positive emotion
enter contest maybe win ipad sxsw,Apple,Positive emotion,Apple-Positive emotion
day closer becoming owner ipad stoked thing getting final sxsw,Apple,Positive emotion,Apple-Positive emotion
sitting flipboard panel wishing ipad ala two year old completely overtaken sxsw flipboard,Apple,Positive emotion,Apple-Positive emotion
ipad interfacecontrols top mobile control bottom tapworthy sxsw,Apple,No emotion toward brand or product,Apple-No emotion toward brand or product
ahh wonderful news ipad available online ordering get ur sxsw,Apple,Positive emotion,Apple-Positive emotion
experimenting tinkering like ninety quotbest viewed ipad new best viewed internet explorer quot sxsw,Apple,Positive emotion,Apple-Positive emotion
suffering ipad envy sxsw,Apple,Positive emotion,Apple-Positive emotion
iphone user sxsw gps stuck one new geo app update foursquaregowalla,Apple,Negative emotion,Apple-Negative emotion
farmer use blackberry iphone ipad catching bigger screen mobilefarm sxsw,Apple,Positive emotion,Apple-Positive emotion
texas observer tomlinson say would double revenue per issue ipad subscription newsapps sxsw,Apple,Positive emotion,Apple-Positive emotion
great interview bloomberg ipad kick sxswapple link,Apple,Positive emotion,Apple-Positive emotion
cool google basically foing version apple event showing ton new product feature sxsw,Google,Positive emotion,Google-Positive emotion
cool potential nontext application iphone awesome sxsw,Apple,Positive emotion,Apple-Positive emotion
pair nice back back talk morning interface design ipad future touch general sxsw,Apple,Positive emotion,Apple-Positive emotion
hope everyone awesome weekend sxsw know giving away great apple prize,Apple,Positive emotion,Apple-Positive emotion
apple take bruise panelist well regarded sustainability space corporate sustainability reporting transparency sxsw,Apple,Negative emotion,Apple-Negative emotion
apple like pay thats apple like barry diller sxsw,Apple,Negative emotion,Apple-Negative emotion
ipad go sale sxsw looking gig color preference,Apple,Positive emotion,Apple-Positive emotion
mayer come sans intro still get cheer techrockstar launch google priority location fast fun amp future sxsw,Google,Positive emotion,Google-Positive emotion
free itunes sxsw quotfeatured artistsquot sampler link free music sxsw,Apple,Positive emotion,Apple-Positive emotion
apple save sxsw set open popup store cnet news link sxsw,Apple,Positive emotion,Apple-Positive emotion
apple save sxsw set open popup store link apple sxsw,Apple,Positive emotion,Apple-Positive emotion
holy smoke ipad replacing flip cam default video capture device beautiful elegant apple sxsw,Apple,Positive emotion,Apple-Positive emotion
google presentation mayer sale pitch fail sxsw,Google,Negative emotion,Google-Negative emotion
google presenting hotpot sxsw sxswi austin convention center link,Google,Positive emotion,Google-Positive emotion
omgz makeshift sxsw apple store gold gym link,Apple,Positive emotion,Apple-Positive emotion
ipad design headache take two tablet call panel excited hear live sxsw,Apple,Negative emotion,Apple-Negative emotion
thats awesome rumor apple opening temporary store downtown austin link sxsw,Apple,Positive emotion,Apple-Positive emotion
awesome hear marissa mayer acknowledge google map need increase support product incorrect route sxsw,Google,Negative emotion,Google-Negative emotion
wow shakespeare pub here delete button iphone video camera sxsw,Apple,Positive emotion,Apple-Positive emotion
madness already downtown day sxsw apple popup store seems brisk biz,Apple,Positive emotion,Apple-Positive emotion
ipad success apple popup store austin apple sxsw link,Apple,Positive emotion,Apple-Positive emotion
awesome restaurant week app iphone link austinites sxsw,Apple,Positive emotion,Apple-Positive emotion
fun meet folk sxsw couch couchfan app made ipad lovesit link,Apple,Positive emotion,Apple-Positive emotion
anybody get ipad downtown apple popup store yet trampling letushopenot sxsw poppop,Apple,Positive emotion,Apple-Positive emotion
killer meet ups new old friend today apple microsoft solo killer many letschangetheworld sxsw,Apple,Positive emotion,Apple-Positive emotion
complete io dominance sxsw compels apple open frickin temporary apple store downtown austin week,Apple,Positive emotion,Apple-Positive emotion
ipad queue epic sxsw link,Apple,Positive emotion,Apple-Positive emotion
sxsw even cabby tech savvy thats iphone streaming twitter link,Apple,Positive emotion,Apple-Positive emotion
freaking everyone ipad iphone mac wow sxsw,Apple,Positive emotion,Apple-Positive emotion
amazing new app mobil worker link iphone app telework sxsw,Apple,Positive emotion,Apple-Positive emotion
tyson new game iphone one cant good original mike tyson punchout link sxsw,Apple,No emotion toward brand or product,Apple-No emotion toward brand or product
love new ipad seems much faster fluid original seems natural hold excited use sxsw week,Apple,Positive emotion,Apple-Positive emotion
love new iphone case featuring glad got case zazzlesxsw sxsw link,Apple,Positive emotion,Apple-Positive emotion
awesome new version iphone new web site coming sxsw want demo meet sxsw pls,Apple,Positive emotion,Apple-Positive emotion
aaron apps dont feel like web much browser ipad neither web print newsapps sxsw,Apple,No emotion toward brand or product,Apple-No emotion toward brand or product
novelty ipad news apps fade fast among digital delegate aron pilhofer nyt amp khoi vinh link medium sxsw,Apple,Negative emotion,Apple-Negative emotion
day one sxsw coming close lot good stuff looking fwd tomorrow coolest far google locationmap plan feature,Google,Positive emotion,Google-Positive emotion
outside panel people skip barely get anything work iphone sxsw need shrink people,Apple,Negative emotion,Apple-Negative emotion
novelty ipad news apps fade fast among sxsw delegate link,Apple,Negative emotion,Apple-Negative emotion
stuff great love seeing guy think outside box google doodle googledoodle sxsw,Google,Positive emotion,Google-Positive emotion
year time saved every day people qho use google map quotroute aroundquot feature sxsw,Google,Positive emotion,Google-Positive emotion
pollak youre much trouble dont sell appleduh sxswbigbrands sxsw,Apple,Negative emotion,Apple-Negative emotion
feature iphone sxsw week,Apple,Positive emotion,Apple-Positive emotion
kick sxswi giving away ipad visit page enter link sxsw,Apple,Positive emotion,Apple-Positive emotion
showing ipad sxsw pretty much like showing puppy anywhere else get fawning attention dont,Apple,Positive emotion,Apple-Positive emotion
turning twitter sxsw ipad forgotten,Apple,Negative emotion,Apple-Negative emotion
showing uzu ipad app tapworthy sxsw,Apple,Positive emotion,Apple-Positive emotion
kicking talking ipad design headache sxsw,Apple,Negative emotion,Apple-Negative emotion
wifi working laptop neither iphone grrr sxsw,Apple,Negative emotion,Apple-Negative emotion
awesome first day sxsw apple approved new app download check blog quotbig stereoquot ipad,Apple,Positive emotion,Apple-Positive emotion
ipad flight wifi sitting behind ready shiner sxsw,Apple,Positive emotion,Apple-Positive emotion
good app quotparty peopleparty crasherquot release android app cluster link sxsw,Google,Positive emotion,Google-Positive emotion
prepping attending sxsw without iphone dehumanizing experience,Apple,Positive emotion,Apple-Positive emotion
platform concertgoers launch android app time sxsw mashable link sxsw,Google,Positive emotion,Google-Positive emotion
grateful aclugoogle earplug right sxsw,Google,Positive emotion,Google-Positive emotion
line sxsw apple store oddly obnoxiously long hesayswithtwohoursleft,Apple,No emotion toward brand or product,Apple-No emotion toward brand or product
line apple popup store sxsw stretch around blockguess wont getting ipad today,Apple,Positive emotion,Apple-Positive emotion
big line googlebing session people line saying one ballroom sxsw,Google,Positive emotion,Google-Positive emotion
line ipad pop apple store outlandish entire week sxsw,Apple,Positive emotion,Apple-Positive emotion
life cant get ipad sync session partial iphone fine ipad deciding want sxsw,Apple,Negative emotion,Apple-Negative emotion
sxsw frank missed childhood walk project google street view enables stunning revelation link,Google,Positive emotion,Google-Positive emotion
friend austin sxsw ill buffalo new ipad,Apple,Positive emotion,Apple-Positive emotion
learning google afternoon woot sxsw link,Google,Positive emotion,Google-Positive emotion
cab ride hell get apple store mall sold getting dinner figure get back hotel sxsw,Apple,Negative emotion,Apple-Negative emotion
two guy google doodle team talk fun making homepage pretty sxsw link,Google,Positive emotion,Google-Positive emotion
woman front etchasketch housing ipad awesome sxsw,Apple,Positive emotion,Apple-Positive emotion
frontend dev talk sxsw way turned head far could couldnt see single nonapple device cor,Apple,Positive emotion,Apple-Positive emotion
installing android get vip pedicab treatment sxsw,Google,Positive emotion,Google-Positive emotion
giving next person come sxsw tell cool android look around look hard,Google,Positive emotion,Google-Positive emotion
navigating crowded party suck way worse everyone walk around face iphone sxsw adpeopleproblems,Apple,Negative emotion,Apple-Negative emotion
nice able use usb charging cord plug add juice iphone dfw sxsw,Apple,Positive emotion,Apple-Positive emotion
best thing ive heard weekend sxsw quoti gave ipad money japan relief dont need ipad quot,Apple,Negative emotion,Apple-Negative emotion
mag say dont hold breath circle launching slowly link google sxsw socialmedia,Google,No emotion toward brand or product,Google-No emotion toward brand or product
regretting didnt bring ipad sxsw seeing lot time would useful especially battery life woops,Apple,Positive emotion,Apple-Positive emotion
loving apple popup downtown office long last sxsw local link link,Apple,Positive emotion,Apple-Positive emotion
lining get ipad apple pop store much long line sxsw,Apple,Positive emotion,Apple-Positive emotion
gadgetaddicted apple fanboy manage come home sxsw without ipad suspense intense intense suspense,Apple,Positive emotion,Apple-Positive emotion
stay charged sxsw visit mophie booth great deal juice pack iphone stay tuned quotflashquot giveaway,Apple,Positive emotion,Apple-Positive emotion
changed mind need ipad infektd need wider screen detect zombie sxsw,Apple,Positive emotion,Apple-Positive emotion
nieuwe regel quotgoogle tweetquot new quotthink speakquot mark belinsky tweet panel sxsw,Google,Positive emotion,Google-Positive emotion
apple genius pun intended check sxsw link,Apple,Positive emotion,Apple-Positive emotion
genius may actually buy ipad tomorrow apple temporary store downtown austin sxsw,Apple,Positive emotion,Apple-Positive emotion
well forget nfl lockout right gon focus getting shinmy new ipad min sxsw apple make happy nfl,Apple,Positive emotion,Apple-Positive emotion
getting new ipad sxsw flash apple store link,Apple,Positive emotion,Apple-Positive emotion
google goggles location could tell example history building looking augmentedreality sxsw,Google,Positive emotion,Google-Positive emotion
google goggles may new fave thing sxsw,Google,Positive emotion,Google-Positive emotion
quit fighting sxsw ipad apple store sxsw others link,Apple,Positive emotion,Apple-Positive emotion
litle girl want ipad guess got get one sxsw checked apple pop store link,Apple,Positive emotion,Apple-Positive emotion
got given free portable iphone charger sweet thx powermat sxsw,Apple,Positive emotion,Apple-Positive emotion
glad ive got faulty iphone thatll well sxsw everyones battery dy time quicker hope know,Apple,Negative emotion,Apple-Negative emotion
google sxsw party dont badge suckas,Google,Positive emotion,Google-Positive emotion
quotgoogle tweetquot new quotthink speakquot mark belinsky tweet panel sxsw,Google,Positive emotion,Google-Positive emotion
quotgoogle circlesquot social network idea sound like plan link sxsw,Google,Positive emotion,Google-Positive emotion
quotgoogle many product need condense themquot sxsw fyi nine mobile product,Google,Negative emotion,Google-Negative emotion
quotgoogle look technical solution theyre great community human solutionquot sxsw,Google,Negative emotion,Google-Negative emotion
quotgoogle map best true dat double truequot link sxsw google,Google,Positive emotion,Google-Positive emotion
quotgoogle map route around traffic saving user year every dayquot marissa mayer sxsw,Google,Positive emotion,Google-Positive emotion
sxsw google party austin texas entry received anti privacy law petition sunglass free beer link,Google,Positive emotion,Google-Positive emotion
quotgoogle launch major new social networkquot really dont need another social networklink sxsw,Google,Negative emotion,Google-Negative emotion
ipad design quotknow value white spacequot tapworthy sxsw gsdm,Apple,Positive emotion,Apple-Positive emotion
